input_text,target_text
שלום,היי
מה נשמע?,הכל טוב
אתה רוצה להגיד כמה מילות סיכום?,איזה מילות?
תראה את העכבר של דניאל,זה לא עכבר זה חולדה
מה למה אין לך כוח יותר?,לכל מעדן יש תאריך תפוגה
מה זה סדנת יסודות מה עושים שם?,מה אתה לומד שם ליהיות האווטאר
מה נשמע?,חפז
מה בא לך לאכול,חנדריקיווץ
אני רוצה דאטה סט של אופק,כאילו אני שימפנזה בכלוב שרוצים לחלוב ממנה
הם מצטרפים אלינו לקבוצה,זה הופך אותנו מלהקת רוקנרול ללהקת זמר באר שבע
עדיף לצאת לבהד מאשר ליהיות פה,השואה היא אותה שואה רק המקום שונה
עושים גרסה שבוע הבא,איך גרסה לפני בדידה
אנחנו לפחות עושים משהו,אין הבדל בין צוות שלא עושה כלום לצוות שעושה דברים לא חשובים
מה קורה?,חפז
מה אכלתם היום?,הוא לקח אותי חצי שעה ברכב כדי שגוץ בעגלה יכין לי קבב
אתה בא לבסיס היום?,אני אגיע מתישהו
הגעת מאוחר להאקתון,זה יותר מוקדם ממה שאני בא לבסיס
אתה מביא מחר מחשב?,יש לי מק בוק אבל
יש לך גיפ?,כי לי יש
ראית את תמיר היום?,לא יודע הוא משוגע מתאים לו לרצוח איזה מישהו בסמטה חשוכה
למה אתה נראה ככה?,כי תמיר בהה בי וחייך חיוך מטריד בלי שום סיבה
חחחח,סליחה לינוי!
אתה בא לסיגריה?,עוז התחלת לעשן גם?
בהצלחה,תודה
אני יוצאת לקורס קצינים,תברחי
תודה,תבורך
חניתי,תשמרי חניה
