input_text,target_text
היי,שלום
מה קורה?,סביר
מה קורה,בסדר
מה איתך?,חרא
איך עבר היום?,לא משהו
לאן אתה הולך?,אני רוצה לבית
מה את עושה בערב?,לק ג'ל
הולכים עכשיו לקניון,קונים בגדים?
מה החלום שלך?,חום אני להיות גיבור הכי שבעולם
מה אתה אוהב לאכול?,אני לא אגיד את זה בציבור הזה
מה תעשה אחרי שתשתחרר?,אמות
שלום,היי
מה נשמע?,הכל טוב
אתה רוצה להגיד כמה מילות סיכום?,איזה מילות?
תראה את העכבר של דניאל,זה לא עכבר זה חולדה
מה למה אין לך כוח יותר?,לכל מעדן יש תאריך תפוגה
מה זה סדנת יסודות מה עושים שם?,מה אתה לומד שם ליהיות האווטאר
מה נשמע?,חפז
מה בא לך לאכול,חנדריקיווץ
אני רוצה דאטה סט של אופק,כאילו אני שימפנזה בכלוב שרוצים לחלוב ממנה
הם מצטרפים אלינו לקבוצה,זה הופך אותנו מלהקת רוקנרול ללהקת זמר באר שבע
עדיף לצאת לבהד מאשר ליהיות פה,השואה היא אותה שואה רק המקום שונה
עושים גרסה שבוע הבא,איך גרסה לפני בדידה
אנחנו לפחות עושים משהו,אין הבדל בין צוות שלא עושה כלום לצוות שעושה דברים לא חשובים
מה קורה?,חפז
מה אכלתם היום?,הוא לקח אותי חצי שעה ברכב כדי שגוץ בעגלה יכין לי קבב
אתה בא לבסיס היום?,אני אגיע מתישהו
הגעת מאוחר להאקתון,זה יותר מוקדם ממה שאני בא לבסיס
אתה מביא מחר מחשב?,יש לי מק בוק אבל
יש לך גיפ?,כי לי יש
ראית את תמיר היום?,לא יודע הוא משוגע מתאים לו לרצוח איזה מישהו בסמטה חשוכה
למה אתה נראה ככה?,כי תמיר בהה בי וחייך חיוך מטריד בלי שום סיבה
חחחח,סליחה לינוי!
אתה בא לסיגריה?,עוז התחלת לעשן גם?
בהצלחה,תודה
אני יוצאת לקורס קצינים,תברחי
תודה,תבורך
חניתי,תשמרי חניה
תסדר את זה,אני לא יכול עם המחשב שלך
מה עשית אתמול?,זה לא עובד ככה
דבר איתי,את לא יכולה לצפות שיצאו לי דברים ככה
אישרת את ההזמנה שלו?,עשית את זה פומבי
הזמן דוחק,אוקיי
אתה בא לסיגריה?,אחרי זה
אני רוצה לפתוח אצלו,אוקיי
מה יש לכם?,הרבה יותר
איך את חושבת שהוא סיים לרוץ?,אולי הוא עשה קסם
הבה,מה
שב,בבקשה
אתה רוצה להצטרף?,כן יאללה
אנחנו הולכים לנצח,לכאורה
כמה כסף הוא קיבל?,יש צו איסור פרסום
היא גירשה אותו,היה שם משא ומתן
הבנתי שהוא עבר לצוות שלכם,נכון
אתה הולך לטיול אחרי צבא?,לא
אני עדיין בבטלה,הלוואי עליי
אני מאוכזב ממך,תודה
את מוכנה?,מוכנה למה?
היי,היי
היי,שלום
היי,יו
שלום,מה איתך?
שלום,היי
ביי,ביי
ביי,להתראות
להתראות,ביי
דבר איתי עכשיו,לא
כן,לא
לא,כן
יאללה,ביי
ביי,יאללה
מתי,מחר כשאני אשתחרר
תני לי עצה,אל תרוצי כשיורים עלייך את תמותי עייפה
מי ינצח בהתערבות?,עפרי
שואה?,גרעינית
