input_text,target_text
כמה זמן לקח לבנות את מגדלי התאומים,11.0 שנה
מי שר את love you like there's no tomorrow,קריס יאנג
כמה עונות של scream queens יש,2.0
מהי הפעם האחרונה בה הlakers הגיעו לפלייאוף,2013
כמה פרקים יש בעונה של דברים מוזרים,3.0
מי שר את i hear you knocking but you can't come in,דייב אדמונדס
מי העלה את התוכנית the voice,ג'ון דה מול
מתי החל והסתיים המערב הישן של אמריקה,1865
"מתי ""rams"" שיחק בקערת העל",1999
oh what a night מי שר את השיר,ארבע העונות
מי שר את השיר  אני רוצה להיות איתך בכל מקום,פליטווד מק
מי שיחה את מרי מגדלין בישו כוכב עליון,איבון אלימן
מי כתב את הספר מגילת איכה,ירמיהו
למי יש הכי הרבה עוקבים באינסטגרם באינסטגרם,כריסטיאנו רונאלדו
the roast אזה פרק בסדרה המשרד היא,Stress Relief
מי מייצר הכי הרבה פיסטוקים בעולם,איראן
מה השם של אצטדיון קרדינלס באריזונה,אצטדיון אוניברסיטת פיניקס
מי שר  i've never been to me,שרלין
כמה מדינות מכסים הרי הרוקי,6.0
let's go all the way מי שר,סלי פוקס
ב2015 america's got talent  מי ניצח את,פוואל זרדין
מהי מגבלת הגיל עבור צופי בנות,5.0 18.0 שנה
panthersשיחקו נגד ה steelers מתי הפעם האחרונה שה,2019-08-29
מתי הייתה הפעם האחרונה שהרפובליקנים ב popular vote,2004
מתי הייתה הפעם האחרונה הקאבס זכו בסדרה העולמית,2016
מתי יצא המטבע הלירה החדש,2017-03-28
מתי גויס מייקל ג'ורדן ל- nba,1984
מתי זו הפעם האחרונה שתוקנה החוקה,1992
מי היו הדמויות בשיר אשיר בגשם,דונלד או'קונור
מהו האורך הממוצע של freight train car,55.0 67.0 רגל
i'll make a man out of you מי שר,דוני אוסמונד
מתי טום בריידי זכה בטבעת הראשונה שלו,2002
איפה עומד להתקיים המונדיאל,קטר
מה שמות הדמויות של הטוויניס,ג'ודי - מעבר לקשת
מי משחק את פנתר שחור בסרט פנתר שחור,צ'דוויק בוזמן
directvב cw איזה מספר ערוץ זה,385.0
the amazing world of gumball מתי נגמר,2019-06-24
what is love baby don't hurt me מי שר את,Haddaway
מהו החומר הפעיל בכל חומרי ניקוי הידיים המאושרים על ידי ה-FDA,אתנול
genie in a bottle מתי יצא השיר,1999
מי כיכב בסרט הגשר על הנהר קוואי,ויליאם הולדן
מה היו שמות אבירי השולחן העגול,גלהאד
מי המארח של לאמריקה יש כישרון,סיימון קאוול
lord it's hard to be humble מי שר את,מאק דייוויס
מי שר את השיר קחי אותי לכנסייה,הוזייר
מתי הצורך במהירות הסרט יוצא,2014-03-14
מי הדוגמניות ב-price is right,ג'יימס או'הלורן
מי הנהיג את הצפון במלחמת האזרחים,אברהם לינקולן
מי גילמה את דמות שלגיה בסדרה עד עצם היום הזה,ג'יניפר גודווין
מי היה האיש הזקן ביותר שאי פעם חי,ז'אן לואיז קלמן
כמה פעמים זכתה אוסטרליה בגביע העולם בקריקט,5.0
קודם דולי פרטון או ויטני יוסטון  i will always love you מי שר,דולי פרטון
מה שמו של הנשיא הראשון של אמריקה,ג'ורג' וושינגטון
מה שם המכללה בבית החיות,בית החיות
שחקני הסרט gone in 60 seconds,אנג'לינה ג'ולי
כמה עונות יש בתוכנית קוסבי,8.0 עונות השנה
מתי נערך גביע העולם בקריקט הראשון,1975
מיהו אל העולם התחתון במיתולוגיה היוונית,האדס
יצא don't smile at me מתי,2017-08-11
מי גילמה את שרלן דרלין בתכנית של אנדי גריפית',מגי פטרסון
מי הקפטן של ווסט אינדיס בקריקט,ג'ייסון הולדר
מהו האגם הגדול ביותר בניו זילנד,אגם טאופו
מי הוא המחבר של דרך ארוכה,ישמעאל ביה
מתי ארצות הברית עזבה את מלחמת ויאטנם,1973-03-29
מי שיחק את harley quinn ב the suicide squad,מרגו רובי
מה אוכלוסיית מדינת מיין,1338000.0
מי שיחק את tj on head of the class,בילי קונולי
מי שיחק את דמותו של סטאר לורד בשומרי הגלאקסיה,כריס פראט
מתי יצא סאמסונג גלאקסי 6 אס edge,2015-04-10
100 דברים לעשות לפני תיכון,אוון ג'וינר
someone that i used to know מי שר,גוטייה
כמה גלונים יש בחבית וויסקי,53.0 גאלון
נגד מי אמריקה נלחמה במלחמה המהפכנית,בריטניה הגדולה
מתי יצא השיר בני והג'טס,2000
מתי היית ההפעם האחרונה שארצות הברית לא הייתה בחוב,1835-01-08
מי שר את השיר you're my everything,The Temptations
i love the nightlife מי שר את,אליסיה ברידג'ס
קבוצות שמעולם לא זכו בסדרה עולמית,סיאטל מארינרס
maid of orleans מי ידועה כ,ז'אן ד'ארק
הראשונה של ארבע דקות מיל sub מי רץ את,רוג'ר בניסטר
i've got spurs that jingle jangle jingle מי שר את,ג'ין אוטרי
מה היה הקרב הראשון במלחמת וייטנאם,קרב יה דראנג
מי שיחק השנה בסופרבול,לוס אנג'לס ראמס
מיהו ה surgeon general הנוכחי של ארצות הברית,ג'רום אדמס
מי שיחקה את רייצ'ל בבלייד ראנר המקורי,שון יאנג
היכן נמצא הגשר הארוך ביותר בארצות הברית,לואיזיאנה
מי העלה את הרעיון של יום האב,סונורה סמרט דוד
מאיפה מקור שם המשפחה גוזמן,ספרד
מי שר את השיר  please don't go, קי.סי ולהקת הסאנשיין 
מי מחזיק בשיא הריצה הכי מהירה במשחק,אדריאן פיטרסון
מי האדם העשיר ביותר שאי פעם חי,"מנסא מוסא הראשון, מלך מאלי"
מי הוא היוטיובר עם מספר המשתתפים הגבוהה ביותר,טי סיריז
איפה בניו יורק נמצא כיכר times,ארצות הברית
האם פול האוס גובר על סטרייט בפוקר,yes
